id_group,time_bin,sum
1044036,2012-01-01 00:00:00,6
1044036,2014-01-01 00:00:00,1
10440392,2013-01-01 00:00:00,4
10441522,2013-01-01 00:00:00,4
10442392,2013-01-01 00:00:00,2
10442392,2014-01-01 00:00:00,40
1044563,2008-01-01 00:00:00,286
1044563,2009-01-01 00:00:00,312
1044563,2010-01-01 00:00:00,207
1044563,2011-01-01 00:00:00,178
1044563,2012-01-01 00:00:00,166
1044563,2013-01-01 00:00:00,145
1044563,2014-01-01 00:00:00,76
10447052,2013-01-01 00:00:00,10
10447052,2014-01-01 00:00:00,10
1045274,2008-01-01 00:00:00,5
1045274,2009-01-01 00:00:00,9
1045274,2010-01-01 00:00:00,11
1045274,2011-01-01 00:00:00,11
1045274,2012-01-01 00:00:00,14
1045274,2013-01-01 00:00:00,6
1045274,2014-01-01 00:00:00,2
10453292,2013-01-01 00:00:00,1
10453292,2014-01-01 00:00:00,5
10462542,2013-01-01 00:00:00,6
10462542,2014-01-01 00:00:00,46
1046304,2008-01-01 00:00:00,15
1046304,2009-01-01 00:00:00,32
1046304,2010-01-01 00:00:00,5
1046304,2011-01-01 00:00:00,22
1046304,2014-01-01 00:00:00,40
10463232,2014-01-01 00:00:00,4
10464122,2013-01-01 00:00:00,14
10473262,2013-01-01 00:00:00,10
10473262,2014-01-01 00:00:00,44
10474772,2014-01-01 00:00:00,3
10479822,2013-01-01 00:00:00,4
10479822,2014-01-01 00:00:00,18
10482892,2013-01-01 00:00:00,2
10482892,2014-01-01 00:00:00,4
1048319,2008-01-01 00:00:00,24
1048319,2009-01-01 00:00:00,362
1048319,2010-01-01 00:00:00,239
1048319,2011-01-01 00:00:00,107
1048319,2012-01-01 00:00:00,1121
1048319,2013-01-01 00:00:00,2429
1048319,2014-01-01 00:00:00,579
10485842,2013-01-01 00:00:00,138
10488192,2013-01-01 00:00:00,18
10488192,2014-01-01 00:00:00,13
10494742,2013-01-01 00:00:00,63
10494742,2014-01-01 00:00:00,17
10497772,2013-01-01 00:00:00,3
10498532,2013-01-01 00:00:00,55
10498532,2014-01-01 00:00:00,5
10501162,2013-01-01 00:00:00,1
10501162,2014-01-01 00:00:00,3
10507432,2013-01-01 00:00:00,43
10507432,2014-01-01 00:00:00,75
10507752,2013-01-01 00:00:00,9
10508292,2014-01-01 00:00:00,3
10511822,2013-01-01 00:00:00,6
10511822,2014-01-01 00:00:00,27
10511862,2013-01-01 00:00:00,5
10511862,2014-01-01 00:00:00,12
10517012,2013-01-01 00:00:00,34
10517012,2014-01-01 00:00:00,102
10519502,2013-01-01 00:00:00,1
10521162,2013-01-01 00:00:00,9
10521162,2014-01-01 00:00:00,153
1052119,2008-01-01 00:00:00,19
10522022,2013-01-01 00:00:00,48
10522022,2014-01-01 00:00:00,18
10523122,2013-01-01 00:00:00,25
